TIME,AIRLINE,FLIGHT_NUMBER,TRANSACTION,TERMINAL,GATE,REMARK,data_as_of,data_loaded_at
2025/07/29 06:00:00 AM,DELTA,DL772,DEP,1,C4,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/29 05:08:00 PM,Southwest,WN2511,ARR,2,D7,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 02:01:00 PM,Alaska,AS434,DEP,1,B9,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 08:43:00 AM,United,UA1273,ARR,3,F20,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/31 09:12:00 PM,United,UA5932,DEP,3,F9,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/21 06:21:00 AM,Alaska,AS981,DEP,1,C1,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 10:34:00 PM,American,AA1580,ARR,1,B19,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 09:12:00 PM,DELTA,DL681,ARR,1,C4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 12:44:00 PM,Lufthansa,LH454,ARR,I,G13,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 10:16:00 AM,Turkish Airlines,TK289,ARR,I,A8,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/28 12:09:00 AM,United,UA2070,DEP,3,E7,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/25 08:10:00 PM,Southwest,WN4480,DEP,2,D6,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 05:58:00 PM,Aer Lingus,EI60,DEP,1,B5,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/22 08:05:00 PM,DELTA,DL750,DEP,1,C8,Departed,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/27 03:18:00 PM,United,UA776,ARR,3,E10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 01:52:00 PM,United,UA741,ARR,2,D10,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/26 08:15:00 AM,United,UA114,ARR,I,G1,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/30 12:28:00 PM,WestJet,WS1508,ARR,1,B4,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
2025/07/24 05:40:00 PM,United,UA2633,ARR,3,F14,Arrived,2025/08/01 11:36:56 AM,2025/08/02 10:02:20 AM
